run_cell_id,dataset,budget,budget_id,repeat,seed,terminal_status,BACC,F1_MACRO,ACC,ROC_AUC,observed_denominator,expected_denominator,selected_candidate,lr,weight_decay,dropout,class_weight_policy,best_epoch,kernel_length,depthwise_kernel_length,pool1_kernel_size,pool2_kernel_size,recipe_sha256,effective_patience,effective_min_epochs_before_early_stop,effective_training_policy_label
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,BNCI2014_001,1/class,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,0,872993591,SUCCESS,0.5,0.428287841191067,0.5,0.5407021604938271,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,225,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01,BNCI2014_001,1/class,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,599600990,SUCCESS,0.5486111111111112,0.5484151107251412,0.5486111111111112,0.5678530092592592,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,800,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02,BNCI2014_001,1/class,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,2,705713139,SUCCESS,0.5,0.3906553041434029,0.5,0.5232928240740741,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,1383,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03,BNCI2014_001,1/class,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,3,536479469,SUCCESS,0.5173611111111112,0.42954043462771646,0.5173611111111112,0.5548321759259259,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,344,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04,BNCI2014_001,1/class,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,55864947,SUCCESS,0.5555555555555556,0.5524475524475525,0.5555555555555556,0.5821277006172839,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,2239,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00,BNCI2014_001,2/class,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,1568676596,SUCCESS,0.5243055555555556,0.4812175399382026,0.5243055555555556,0.4994212962962963,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,34,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR01,BNCI2014_001,2/class,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,1,199634573,SUCCESS,0.513888888888889,0.3942307692307692,0.5138888888888888,0.5733989197530864,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,300,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR02,BNCI2014_001,2/class,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,2,889443042,SUCCESS,0.5277777777777778,0.5238975057130355,0.5277777777777778,0.5016396604938271,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,1050,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR03,BNCI2014_001,2/class,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,3,842372439,SUCCESS,0.5381944444444444,0.5352302372140993,0.5381944444444444,0.5961612654320987,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,502,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR04,BNCI2014_001,2/class,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,4,1061353365,SUCCESS,0.5208333333333333,0.5206252713851498,0.5208333333333334,0.513744212962963,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,1647,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
P02-A0-BNCI2014_001-DNN-EEGNET-P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS-MR00,BNCI2014_001,4/class,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,0,646307898,SUCCESS,0.5833333333333333,0.5742793791574279,0.5833333333333334,0.5997299382716049,288,288,R7H-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-P500-R1,0.001,0.0,0.5,UNIFORM_NO_WEIGHT,326,40,20,5,10,76a601fee7b69395453f240507abc843c63722c548211f43cf2b88647ac7af09,500,500,
